"","V1"
"1",1.78739782166875
"2",1.88119950495192
"3",1.79809640743755
"4",1.85264017201477
"5",1.69341089174093
"6",1.77233818213904
"7",1.70169951557921
"8",1.55411580474232
"9",1.73778516749759
"10",1.70560654939665
"11",1.69914263821662
"12",1.70600205826674
"13",1.86394131192954
"14",1.75576071567346
"15",1.74120336668773
"16",1.79882948163937
"17",1.78943419158938
"18",1.87153888763859
"19",1.79456376721798
"20",2.24542457163287
"21",1.74869619990772
"22",1.7961004345797
"23",1.67470890258412
"24",1.68956726553149
"25",1.77218048678246
"26",1.75295821809683
"27",1.50321983995396
"28",2.05427187440053
"29",1.71419995688362
"30",1.83615584990476
"31",1.74688134641195
"32",1.93186183025832
"33",1.8160473244616
"34",1.7459343592877
"35",1.83959489565113
"36",1.87730576195311
"37",1.92521884629899
"38",1.64398158265017
"39",1.53020811588762
"40",1.73617334909825
"41",1.73603275625425
"42",1.81233856082247
"43",1.80787032185931
"44",1.68114587047903
"45",1.81707380593259
"46",1.89220284462966
"47",1.83624947741744
"48",1.82742372324126
"49",1.98557306974413
"50",1.77055929160689
"51",1.81798222773205
"52",1.9209535388343
"53",1.77668731567222
"54",1.77341137534498
"55",1.75223574282162
"56",1.81459735358249
"57",1.99221208058818
"58",1.87818874690361
"59",1.7365799057981
"60",2.10234714840105
"61",1.82418956320665
"62",1.92773508019854
"63",1.77219033396715
"64",1.93783372079158
"65",1.80109031370073
"66",1.92414809259837
"67",1.78807151073294
"68",1.85069886340234
"69",1.73405302171818
"70",1.88207265025292
"71",2.02681435777335
"72",1.75049899101812
"73",1.88631204465636
"74",1.66879372779245
"75",2.05246776220844
"76",1.80062090420115
"77",1.88890192504802
"78",1.75955036087089
"79",1.81499396349579
"80",1.85110777942334
"81",1.9721167534205
"82",1.92614001876931
"83",1.9058968778796
"84",1.85978164089987
"85",1.75686951819423
"86",1.8910567037671
"87",1.96812209291728
"88",1.65103779734561
"89",1.87615974511452
"90",1.98105604309391
"91",1.9311705019914
"92",1.85444908060279
"93",1.86214956670892
"94",1.75592654970079
"95",1.90183440056535
"96",2.02145020940263
"97",1.65077979798754
"98",1.64201502971637
"99",1.70308792234768
"100",1.77508271262611
"101",1.76345015944495
"102",1.97016942615045
"103",1.61797359543565
"104",1.92853943007745
"105",1.86438747866515
"106",2.15361216986922
"107",1.84041907703805
"108",1.80484464795802
"109",1.80834849717488
"110",1.72717543066917
"111",2.23947017420928
"112",2.08510647715228
"113",1.89389891466697
"114",1.78806964461372
"115",1.91282099415498
"116",1.55657917338559
"117",1.99462711823758
"118",1.94417715727341
"119",1.88564785938996
"120",1.73278117143878
"121",1.96051385412711
"122",1.86499428027093
"123",1.82509038378688
"124",1.90105228874717
"125",1.82738191799776
"126",1.73389958334978
"127",2.08578446669805
"128",2.00458170715211
"129",1.84334770283438
"130",1.98799419337532
"131",1.94763488378529
"132",1.75710352046264
"133",1.79484941117676
"134",1.78135548858127
"135",1.78574634568016
"136",1.90835195465266
"137",2.01040581576419
"138",1.62587783087007
"139",1.84047821861949
"140",1.75074322990303
"141",1.73539243218148
"142",1.87229791078006
"143",1.64769839948901
"144",2.08541805923834
"145",1.53236260440712
"146",1.78629213748731
"147",1.63025967204841
"148",2.00293611515279
"149",1.62214656583079
"150",1.66955429190324
"151",1.77297799341061
"152",1.78598664116038
"153",1.81100398071704
"154",1.74596756037491
"155",1.6663265821576
"156",1.87539247954399
"157",1.84766637955281
"158",1.80610982369548
"159",2.00815576726281
"160",1.77836878203141
"161",1.87297573619022
"162",1.50306130458535
"163",1.68806417114836
"164",1.65855771191125
"165",1.7589912701451
"166",2.01772001308868
"167",1.69379407518799
"168",1.69461027738699
"169",1.85489488226519
"170",1.77275117260409
"171",1.82039862036424
"172",1.94479308220628
"173",1.73914598645805
"174",1.6654765245406
"175",1.92113935973264
"176",1.93404150084137
"177",2.01603882146207
"178",1.78564859410614
"179",1.98942092136455
"180",1.74964802947651
"181",1.82254320598799
"182",1.8844700830101
"183",1.79383647740932
"184",1.84619573780513
"185",1.75777210122967
"186",1.87566443602443
"187",1.90844161504216
"188",1.79421919857733
"189",2.06760347377733
"190",1.98528215359813
"191",1.97162587075547
"192",1.90254319061648
"193",1.87300613137684
"194",1.74303681883135
"195",1.90798559007109
"196",1.8155652828686
"197",1.69663801005181
"198",1.85038749554903
"199",1.73366037215758
"200",1.84174208441177
"201",1.79891551168299
"202",1.62582357308251
"203",1.82335512633577
"204",1.70967215754315
"205",1.74485953641079
"206",1.90437481012526
"207",2.15016769759188
"208",1.71197324843456
"209",1.6405145395399
"210",1.72266682799157
"211",1.66792346616537
"212",1.89751561403555
"213",1.73007072019118
"214",2.04271574890769
"215",1.73196674880973
"216",2.05720062049326
"217",1.96464723066265
"218",1.61561396746179
"219",1.79887160641272
"220",1.90284924807772
"221",1.99846803551044
"222",1.88326354714318
"223",1.85480492560742
"224",1.99278894665296
"225",1.81900155104715
"226",1.85740866261578
"227",1.75034042807234
"228",1.80507981633277
"229",1.7394306939486
"230",1.82124774645654
"231",1.95181684561208
"232",1.79094654715497
"233",1.69144284703775
"234",1.83583744563856
"235",1.91194564421649
"236",1.80003920584788
"237",1.80631839141846
"238",1.81250160767735
"239",1.79796078294999
"240",1.92358787936402
"241",1.87337996863666
"242",1.88203348207326
"243",1.70075988078272
"244",1.91312627604427
"245",1.81949419099581
"246",1.7693347722322
"247",1.78091980253353
"248",1.77646327565529
"249",1.78065375698879
"250",1.76708213863487
"251",1.79861215131257
"252",1.58920778469441
"253",1.94370382574736
"254",2.01893758848625
"255",1.94051093659266
"256",1.9402433033704
"257",1.89652637863915
"258",1.67093504855728
"259",1.78886988944504
"260",1.84701736862512
"261",2.12388042578437
"262",1.62078122641453
"263",1.88769910634337
"264",1.89247452906798
"265",1.73456170001678
"266",1.87141670956245
"267",1.90131500017317
"268",1.77163483691576
"269",1.87637036085489
"270",1.83367694035178
"271",1.59358936193004
"272",1.67734855157875
"273",1.74523335033901
"274",1.758420733414
"275",1.7794713551782
"276",1.64436725207716
"277",1.92496652417003
"278",1.91314743947811
"279",1.7993432056579
"280",2.03552279878663
"281",1.84763229172379
"282",1.70681242811438
"283",1.72596521895022
"284",1.91813019701128
"285",1.65064426204707
"286",1.91919433431545
"287",1.82985436011444
"288",1.70477599766305
"289",1.6298118613594
"290",1.59078691264329
"291",2.0392061079015
"292",1.66091209126921
"293",1.92287928154119
"294",1.68996805347921
"295",1.64217921804895
"296",1.71000443833633
"297",2.11056625415005
"298",1.91609279022897
"299",1.7389051126618
"300",1.93245756924238
"301",1.91394211299015
"302",1.9204417866846
"303",1.99220174739713
"304",1.8250448656564
"305",1.71250508067954
"306",1.76005713575055
"307",1.62480010161127
"308",1.80021659436771
"309",1.69638408592566
"310",1.92180391997031
"311",1.91441758628893
"312",2.07481965446072
"313",1.93218189285964
"314",1.96083778195706
"315",1.85384724339055
"316",1.89053827333737
"317",2.03785914807137
"318",1.84019793581826
"319",1.98294185799188
"320",1.72215304639537
"321",1.73947532467767
"322",1.64749808608362
"323",1.93411559151388
"324",1.71380032248077
"325",1.79263164550279
"326",1.61304594217624
"327",1.80388951789945
"328",1.9256006671529
"329",1.76527103886426
"330",1.81005985318156
"331",1.99736129354749
"332",1.8726572785583
"333",1.79324361991405
"334",1.88743502721286
"335",1.93144532305857
"336",1.74583690206848
"337",1.72584493599077
"338",1.9455335418711
"339",1.73635974621745
"340",1.67257121578241
"341",1.83836712153056
"342",1.83318665622773
"343",1.71788205492538
"344",1.952144708146
"345",1.70863672035827
"346",1.78268779030985
"347",1.96069027239366
"348",1.75778252984501
"349",1.54928251265129
"350",1.68652900289883
"351",1.85499434254441
"352",1.30190079010435
"353",1.83007604122999
"354",1.65246877592355
"355",1.94147950004102
"356",1.8685857146525
"357",1.91398987706909
"358",1.72966818300061
"359",1.8245482364025
"360",1.67135572777813
"361",1.80503117273213
"362",1.85650224124099
"363",1.93124743783053
"364",1.56311069296767
"365",1.65760324794378
"366",1.73494243483402
"367",2.01688147195707
"368",1.75267911365965
"369",2.02119872476912
"370",1.90237602979525
"371",1.94352414554566
"372",1.894134171675
"373",1.85426305357093
"374",1.83923691966962
"375",1.72879708889688
"376",1.64747955031392
"377",1.80018716250885
"378",1.98576873877493
"379",1.73407138179793
"380",1.9110820000057
"381",1.67301750862988
"382",1.77809350270718
"383",1.93602201946808
"384",1.99599562277879
"385",1.7547008303638
"386",1.53391506215602
"387",1.82879128986507
"388",1.80724388748047
"389",2.000687704714
"390",1.88887786844887
"391",1.79594110206445
"392",1.80918931352039
"393",1.86157211088866
"394",1.97336264610169
"395",1.7580124124618
"396",1.77208490650767
"397",1.99028001464049
"398",1.83843866345336
"399",1.62419321702627
"400",1.95242509431161
"401",1.81666478952687
"402",1.64388161493339
"403",1.79779543523027
"404",1.77218719455157
