"","V1"
"1",2.34171637779562
"2",2.37235882837632
"3",2.32184505798654
"4",2.27588777009403
"5",2.49589643804093
"6",2.22901333349734
"7",2.14379785793015
"8",2.13673994675803
"9",2.51780876915292
"10",2.20042067495316
"11",2.35548698183846
"12",2.34001742758492
"13",2.17227779230836
"14",2.42843847148442
"15",2.20672074622247
"16",2.27288546137933
"17",2.34591534432115
"18",2.32969567630035
"19",2.36602075762362
"20",2.30497945823705
"21",2.41486764868289
"22",2.3759391718916
"23",2.40970828404419
"24",2.21108524026248
"25",2.26770146422159
"26",2.22907263376576
"27",2.23738431941263
"28",2.27427047002721
"29",2.30729459749366
"30",2.20091001549519
"31",2.45191909805458
"32",2.21277926361638
"33",2.25971907425309
"34",2.46789795871146
"35",2.33338732576445
"36",2.19343589440459
"37",2.40706680259854
"38",2.19626897473007
"39",2.21708950176031
"40",2.34866418695681
"41",2.12458261350076
"42",2.3572335327474
"43",2.15314482162857
"44",2.26162342879419
"45",2.30176779980066
"46",2.37539371895178
"47",2.38000920234999
"48",2.32403547144476
"49",2.13283602720268
"50",2.2605648085247
"51",2.43543419750172
"52",2.25711122824336
"53",2.35430634447095
"54",2.28359805943725
"55",2.23301493670658
"56",2.3044232159217
"57",2.25428456158074
"58",2.28866791656484
"59",2.10827125142842
"60",2.22007107794316
"61",2.41895238633734
"62",2.25114855120597
"63",2.19773716429458
"64",2.31047361720877
"65",2.17253870321697
"66",2.15417167377223
"67",2.12056508072086
"68",2.2960611798645
"69",2.10884591102046
"70",2.17658003935919
"71",2.35230471946972
"72",2.36000242263281
"73",2.38551084755651
"74",2.36892184259917
"75",2.1198465805096
"76",2.39652440511533
"77",2.25951772447017
"78",2.16454459839367
"79",2.06982603146395
"80",2.26825175106489
"81",2.20832498149166
"82",2.23144052797288
"83",2.33203015733859
"84",2.21052988891493
"85",2.31360144943385
"86",2.14961684815416
"87",2.29621757704565
"88",2.18989077402499
"89",2.20300394808854
"90",2.30258671321944
"91",2.24671585616632
"92",2.28727455309392
"93",2.19090442934432
"94",2.51415277057736
"95",2.42759037042237
"96",2.34786239320964
"97",2.14946489514557
"98",2.2450810270849
"99",2.1305772295221
"100",2.29518771227716
"101",2.26839751551195
"102",2.31302900474511
"103",2.24704488226362
"104",2.11828553318214
"105",2.37143506239926
"106",2.28217602522539
"107",2.32250074908175
"108",2.21160569918107
"109",2.28826225377015
"110",2.1509905453616
"111",2.22161079983825
"112",2.24530883896928
"113",2.17393968482711
"114",2.11999506518487
"115",2.28081376363528
"116",2.17909271088784
"117",2.22223145426075
"118",2.21701949544979
"119",2.25838931819591
"120",2.306923709072
"121",2.25722054090011
"122",2.30414027598359
"123",2.28937111102896
"124",2.21637654550069
"125",2.21683609951552
"126",2.12081947426012
"127",2.3108189417117
"128",2.30367141589359
"129",2.26700380754551
"130",2.20223477503955
"131",2.33069921011262
"132",2.37302036834614
"133",2.25641055724344
"134",2.3700991305337
"135",2.18318837957102
"136",2.10263319756347
"137",2.35445509770652
"138",2.38191910174853
"139",2.26248121266311
"140",2.24148505455369
"141",2.38030021041784
"142",2.12060912965112
"143",2.4418929767875
"144",2.05517854550238
"145",2.30905983522982
"146",2.33697283799853
"147",2.05475843364957
"148",2.21949638031489
"149",2.22550331959313
"150",2.11978478493509
"151",2.37089084856922
"152",2.26164286033624
"153",2.38249454346212
"154",2.32929917766896
"155",2.32099539896208
"156",2.25002526871627
"157",2.2268654326123
"158",2.24007496835708
"159",2.28893289750985
"160",2.17679508027705
"161",2.50578368559604
"162",2.20174644222249
"163",2.20380427396804
"164",2.5673336166006
"165",2.33525768817622
"166",2.46601655685522
"167",2.42838212811262
"168",2.3474434208075
"169",2.23856517945355
"170",2.35298416487062
"171",2.34342855637707
"172",2.31161016722403
"173",2.21650924709468
"174",2.16125192973505
"175",2.31913346004519
"176",2.15692526409427
"177",2.27630043235878
"178",2.30715586091568
"179",2.41726669572177
"180",2.45286707646451
"181",2.1338033719494
"182",2.34025573010104
"183",2.15632989853267
"184",2.33797103687961
"185",2.28036741623135
"186",2.24923285881085
"187",2.34461839457995
"188",2.14051419468949
"189",2.29121995274996
"190",2.19540711718853
"191",2.02791112657472
"192",2.26557193123691
"193",2.2509884894648
"194",2.27588092792321
"195",2.36768248579983
"196",2.32604254977311
"197",2.44067003024281
"198",2.37689581288884
"199",2.28732345911735
"200",2.22288450197793
"201",2.22183829584918
"202",2.092566571787
"203",2.28728754133813
"204",2.35286277748309
"205",2.28096942672076
"206",2.21329577788102
"207",2.25188853986973
"208",2.35837976570005
"209",2.114635082955
"210",2.20811651970208
"211",2.20248689209893
"212",2.24304505021291
"213",2.14958219934896
"214",2.35439957160932
"215",2.21622900426506
"216",2.50997208639039
"217",2.12098049516783
"218",2.38196789758815
"219",2.32732987068841
"220",2.4501771515133
"221",2.42316457015693
"222",2.26515028843743
"223",2.2675110406727
"224",2.22642714004498
"225",2.25596635252122
"226",2.40493570810303
"227",2.26219646068444
"228",2.34755549240893
"229",2.5698868043506
"230",2.12861509111783
"231",2.32953807109258
"232",2.5260118722243
"233",2.4011222017759
"234",2.20076658466378
"235",2.35277373893516
"236",2.25522696146728
"237",2.46322002715375
"238",2.32869351533585
"239",2.30841508255229
"240",2.24187417699351
"241",2.27305046945192
"242",2.25008014128389
"243",2.3072763292091
"244",2.17850408348902
"245",2.36463522486401
"246",2.27909180848922
"247",2.18730925020109
"248",2.37461805878818
"249",2.33917529706893
"250",2.2881751739779
"251",2.4066642403404
"252",2.35991223847614
"253",2.35485608810956
"254",2.38700889496549
"255",2.39487849119159
"256",2.3816366041682
"257",2.25171615177478
"258",2.28582397272208
"259",2.25537166014266
"260",2.1782211037582
"261",2.17210957667988
"262",2.22709897912466
"263",2.23992009406191
"264",2.19852316162961
"265",2.30930189137514
"266",2.40627280340296
"267",2.29565777526483
"268",2.28586309743058
"269",2.32134427988348
"270",2.20768079787127
"271",2.15627108529232
"272",2.19313347824913
"273",2.44367924850391
"274",2.22294867455842
"275",2.22981854885418
"276",2.47064985640418
"277",2.21972227146519
"278",2.27823299978705
"279",2.26919692659465
"280",2.19493223251258
"281",2.20567179450786
"282",2.27622172351845
"283",2.3217724485937
"284",2.25754822635703
"285",2.32144460088591
"286",2.24459743216888
"287",2.26976550077087
"288",2.22674942459446
"289",2.38532678004523
"290",2.34578937862941
"291",2.32359508119979
"292",2.1036820533339
"293",2.31981317003886
"294",2.17902038203731
"295",2.38521644290776
"296",2.26483913193522
"297",2.30076925886463
"298",2.23892446876979
"299",2.57017728614132
"300",2.4019375085428
"301",2.32208062426619
"302",2.51399473414811
"303",2.20562899822199
"304",2.2040646746458
"305",2.29660991801672
"306",2.28035171946948
"307",2.28708532407874
"308",2.28301519103192
"309",2.25256941415868
"310",2.23176615585537
"311",2.25385447020511
"312",2.29466249619882
"313",2.32945505653035
"314",2.19673832724346
"315",2.27009731971399
"316",2.44201217096722
"317",2.28124447934285
"318",2.28253606552718
"319",2.16573615784975
"320",2.23328285864913
"321",2.11374231090876
"322",2.2247381537665
"323",2.22345483744292
"324",2.3009072678608
"325",2.17988140345606
"326",2.15580600057
"327",2.29654930889181
"328",2.2769237642337
"329",2.27978697720937
"330",2.34545668961243
"331",2.29241676329272
"332",2.25120886941014
"333",2.19453644221986
"334",2.31619392096578
"335",2.31457704973441
"336",2.246866992971
"337",2.35654313655054
"338",2.35011638102986
"339",2.152991236207
"340",2.34813050254178
"341",2.35103843870055
"342",2.30384197805071
"343",2.34848842660591
"344",2.14426252295214
"345",2.30422456719841
"346",2.26320064599094
"347",2.22896208212345
"348",2.19363941393461
"349",2.24591889722105
"350",2.30710509878284
"351",2.21744018570659
"352",2.16702833748321
"353",2.18482658988783
"354",2.34713064483025
"355",2.18762346150959
"356",2.3088967381832
"357",2.46642043314675
"358",2.25338023107126
"359",2.25287068361093
"360",2.2563372236185
"361",2.1712199371857
"362",2.42926417112664
"363",2.12630302362627
"364",2.2154984634872
"365",2.22392017510939
"366",2.25553857498536
"367",2.25025852972807
"368",2.30324090631371
"369",2.36495833992276
"370",2.26193292628874
"371",2.24384898444231
"372",2.41809809367955
"373",2.41338872423253
"374",2.29431423171079
"375",2.21069528102088
"376",2.29915517957177
"377",2.40332532810631
"378",2.3286872412255
"379",2.28014684287635
"380",2.19437481578836
"381",2.51856526005446
"382",2.14922493512977
"383",2.32860848508672
"384",2.21074653715705
"385",2.33966958341999
"386",2.20341654606044
"387",2.2842107064411
"388",2.2568925682752
"389",2.24090021909324
"390",2.32733004008202
"391",2.25884659080712
"392",2.37047819204036
"393",2.26861430386512
"394",2.16082322927173
"395",2.29828946865786
"396",2.29546899248527
"397",2.19844821708502
"398",2.28555607650565
"399",2.2251010910029
"400",2.14632734976541
"401",2.36256202217986
"402",2.52353554181306
"403",2.23524146432777
"404",2.25579788783746
"405",2.16746129018927
"406",2.08565659340909
"407",2.34354133843648
"408",2.29659790112025
"409",2.26809512784865
"410",2.2655849161798
"411",2.25686461291466
"412",2.14287488993982
"413",2.33127843490323
"414",2.37538314857331
"415",2.36247405295963
"416",2.30110255769633
"417",2.46849223761495
"418",2.45552475669093
"419",2.45244916717628
"420",2.29052260910333
"421",2.27369477344335
"422",2.43369211449591
"423",2.40585880394083
"424",2.33786543266168
"425",2.32965107228791
"426",2.31648985978215
"427",2.25427542933082
"428",2.23106396484138
"429",2.25768946219386
"430",2.23786688594852
"431",2.26463157864121
"432",2.41502248417402
"433",2.26557564874152
"434",2.26648659643219
"435",2.26302206031562
"436",2.17499255782407
"437",2.28554576574853
"438",2.17790819696736
"439",2.29759707799919
"440",2.25197550716019
"441",2.28095434055545
"442",2.28096028334298
"443",2.23262709546
"444",2.45577332053155
"445",2.26971583919328
"446",2.20670118312601
"447",2.2584417223094
"448",2.2586336515271
"449",2.2805039965982
"450",2.32665031452047
"451",2.29800472650683
"452",2.23514018091472
"453",2.23675028644074
"454",2.30999073092033
"455",2.39275826874391
"456",2.3394368903908
"457",2.2758941396659
"458",2.30126531901839
"459",2.31077462934007
"460",2.23050523622353
"461",2.40643172301254
"462",2.31746689606409
"463",2.2393854044349
"464",2.23269148993902
"465",2.4067200347397
"466",2.22739869089407
"467",2.16880791327619
"468",2.20814166966236
"469",2.30399481017432
"470",2.3767434699632
"471",2.3984194838514
"472",2.29325659757639
"473",2.17920280014576
"474",2.232472066756
"475",2.08627903888961
"476",2.15632711596122
"477",2.40649402379998
"478",2.32693378657884
"479",2.47971829756633
"480",2.29786926493031
"481",2.20992479249221
"482",2.22654038073364
"483",2.40607585979837
"484",2.29008653226358
"485",2.39007241597841
"486",2.31074862008329
"487",2.50652501984238
"488",2.25980428396479
