"","V1"
"1",2.09712726773784
"2",1.96569811576088
"3",2.15569551385326
"4",2.02028696429541
"5",1.97200207257388
"6",2.13112943350351
"7",1.9554572215519
"8",2.02867217585398
"9",2.06844458260208
"10",1.99742601130576
"11",1.99134979557258
"12",2.05431010802592
"13",2.3694239337821
"14",2.05866785705732
"15",2.13113186829455
"16",1.97964459719459
"17",2.19317137630653
"18",1.9641383719453
"19",2.05675774500507
"20",2.14194047173034
"21",2.02689583964206
"22",1.99419309095142
"23",1.93793517037203
"24",2.05184552321383
"25",1.91459782403797
"26",1.97854329849749
"27",2.22957028131937
"28",1.97390027742729
"29",2.03381584786153
"30",1.95343033404741
"31",2.04085361198475
"32",2.02559133426634
"33",2.02805546613234
"34",2.09357029606608
"35",2.14067648678991
"36",2.14134311448554
"37",2.09821590979416
"38",2.01055665652979
"39",2.09641586419143
"40",2.03435926522271
"41",2.32189661007557
"42",1.96270791535905
"43",2.13044991457323
"44",1.95195997348674
"45",2.21693079544973
"46",1.93069316077651
"47",2.09115247550643
"48",1.86442738409194
"49",2.0462642090454
"50",2.0080999186555
"51",1.93612803211115
"52",1.89133747741236
"53",2.01574221529183
"54",2.20040900650552
"55",2.05943644025661
"56",1.97307084820687
"57",1.98582895844778
"58",1.92359473028497
"59",1.98687476733878
"60",2.08979434843256
"61",1.95459442874382
"62",2.28383316048554
"63",1.98445783369232
"64",2.09694066758603
"65",2.27710122131495
"66",2.08737230201348
"67",1.90391960461692
"68",2.08018212730637
"69",2.13421944156414
"70",1.89925226974824
"71",2.22440214772224
"72",2.17106364137318
"73",1.98729888046789
"74",2.06147660284239
"75",2.05942428478384
"76",1.92409884979095
"77",2.0224975198118
"78",2.17323055500449
"79",2.16447319564411
"80",1.93370534003617
"81",2.03704068644842
"82",2.18148909478948
"83",1.99436560045953
"84",2.05378825237617
"85",1.92459554870755
"86",1.99324041189276
"87",1.91841766604875
"88",2.14907270495153
"89",1.95910202186602
"90",1.9424217692559
"91",1.92860298550806
"92",1.95791719081741
"93",2.09159590055682
"94",2.01073212279771
"95",2.01391910239527
"96",2.0001802027211
"97",1.94896158607563
"98",1.9225381314646
"99",2.10490927202695
"100",1.98404166830458
"101",2.08748315480855
"102",2.29339958805239
"103",1.95085662679731
"104",2.0140629913144
"105",1.94849588642593
"106",2.06802083454302
"107",2.00104076776157
"108",1.93780001081514
"109",1.97183903356012
"110",2.13145990470688
"111",2.10242610013377
"112",2.02572423522589
"113",1.96022534393565
"114",2.01096662477309
"115",1.97401173566713
"116",1.9487048548431
"117",2.0158839821155
"118",2.13769295621271
"119",2.0047248143738
"120",1.78418095317873
"121",2.09577634005489
"122",2.14040506182277
"123",1.98111197426823
"124",1.96043708189872
"125",2.18973176612316
"126",2.17840793639804
"127",2.00584270311342
"128",1.91776326245924
"129",2.14457607255324
"130",2.05395158871319
"131",2.12025332694291
"132",2.05460546626453
"133",2.02111460002527
"134",2.06692752723529
"135",1.97043222267406
"136",2.0762642417622
"137",1.98666026597831
"138",1.99299125904983
"139",2.11339200857919
"140",2.00515742718356
"141",1.96291401121256
"142",1.97510319071776
"143",1.93228224603619
"144",1.96261718603056
"145",2.06361597179179
"146",1.95520922835338
"147",1.97481004482549
"148",1.96237111653526
"149",1.93868250555648
"150",2.00260341958356
"151",1.97270986951402
"152",2.15813098547262
"153",1.92295914760826
"154",1.93539236572217
"155",2.11755023047058
"156",2.03440934593609
"157",2.13776195746006
"158",2.09283818075952
"159",2.02557598019284
"160",2.0257666921284
"161",2.15497795992394
"162",1.98475038141525
"163",1.96900255302882
"164",2.14405261451304
"165",1.99348769515047
"166",1.89545472337859
"167",1.97802525274052
"168",1.98485633456299
"169",2.03122345915597
"170",1.99479018762446
"171",1.97882090967547
"172",1.97762109816891
"173",2.18806918813911
"174",1.88731579252906
"175",1.93688705332692
"176",1.9567214613364
"177",1.97640368779389
"178",2.08277005212286
"179",1.96736193799204
"180",1.93625467164462
"181",1.9561494658992
"182",2.07324131082818
"183",1.99990053045124
"184",1.97812127644729
"185",2.19278646396789
"186",2.11257589008458
"187",1.99045232478906
"188",1.98204463578511
"189",2.01694783985227
"190",1.91078130045985
"191",2.33544098572711
"192",1.87248588591491
"193",2.14958217049482
"194",1.97810133546586
"195",2.05256206686353
"196",2.27507535469782
"197",1.99798799641039
"198",2.20578697573978
"199",2.14361271093817
"200",2.11211299691545
"201",1.96718018403084
"202",1.98445514622269
"203",1.90423750595134
"204",1.93898556478342
"205",2.18864657968988
"206",1.90209487257993
"207",2.015900494262
"208",2.05286771695632
"209",2.07777375845872
"210",1.95592511774336
"211",1.97145289802797
"212",1.98112851513152
"213",1.99513056694809
"214",2.09804704539645
"215",1.9752983669276
"216",2.13435027528828
"217",1.90875031343353
"218",2.06946664922546
"219",2.24706157502328
"220",2.08494027685789
"221",1.9041642126057
"222",1.99309950687245
"223",2.03807022293365
"224",2.3125239603016
"225",1.95131964869382
"226",1.99603408209946
"227",2.08180442535968
"228",1.8252024295354
"229",1.97214117253782
"230",2.18436897760561
"231",1.92915325988251
"232",2.00140307829529
"233",1.92046374857476
"234",1.96980335706859
"235",1.98401540066921
"236",1.94155190174331
"237",2.01968211699687
"238",2.14631209229064
"239",1.95939084388541
"240",2.06597794124268
"241",1.93111487954707
"242",2.04802702625318
"243",2.03367518573992
"244",2.00102403292926
"245",1.91596125632914
"246",1.880333829411
"247",2.29311628716167
"248",1.98536935941881
"249",1.93876202498888
"250",2.07296514374078
"251",2.07751989282156
"252",2.14606800220557
"253",1.98376353862786
"254",2.10399743813859
"255",2.04947262151485
"256",2.02583249353433
"257",1.94877186778427
"258",2.12109459128731
"259",2.04668995934923
"260",2.09687493388278
"261",2.06070471728874
"262",1.92468730314048
"263",2.20820309661125
"264",2.08367972108482
"265",1.95039590367254
"266",2.00502707510805
"267",2.03323545362116
"268",2.27350961251041
"269",1.95666544141078
"270",1.94114816336782
"271",2.02272298225181
"272",1.92766667365964
"273",2.03712135811164
"274",1.9101570554189
"275",1.91964019935098
"276",2.09045801025401
"277",2.03796652739432
"278",2.03397324367973
"279",2.10850648874985
"280",2.12595435803446
"281",1.93516808034098
"282",2.19849508360669
"283",1.94615771520674
"284",1.9401799644322
"285",2.01845232694435
"286",2.01963594119279
