"","V1"
"1",1.93044134045096
"2",1.93289085886986
"3",1.89361532281041
"4",1.99325510537257
"5",1.97227334829337
"6",1.80028208343802
"7",1.86207336301735
"8",2.03554037224874
"9",1.95203760277837
"10",1.95488909908845
"11",1.88029995680212
"12",1.84986798310358
"13",1.93642014188439
"14",2.03324852639614
"15",1.81370801964709
"16",1.86171086081676
"17",1.90553812915002
"18",1.93054243925265
"19",1.98085614874781
"20",1.93978988625266
"21",1.94038477344337
"22",1.9798299964038
"23",1.92068347332231
"24",1.94738687610299
"25",1.99130557821019
"26",1.97484390834802
"27",1.90377684546221
"28",1.95738335575636
"29",1.80097977466132
"30",1.80785356927237
"31",1.87828153039155
"32",1.96618321793163
"33",1.88293372399526
"34",1.88543790227703
"35",1.94070765739057
"36",1.98098066847925
"37",1.90111449920879
"38",1.93007964716813
"39",1.91640683939488
"40",1.82195347455938
"41",1.89207468219376
"42",1.91977515973235
"43",1.91442494489057
"44",1.95852941953269
"45",1.89470939137569
"46",1.91731762435489
"47",1.85343496309461
"48",1.97322648624097
"49",1.78530683821682
"50",1.92303461926729
"51",1.89696077172588
"52",1.95026728754863
"53",1.89544943543582
"54",1.89508212392595
"55",1.9260786784681
"56",1.96839120637383
"57",1.87697770264481
"58",1.93340970345013
"59",1.94096666259205
"60",1.88780676060819
"61",1.96298381681601
"62",1.98380507659086
"63",1.93966529275411
"64",1.93992813944419
"65",2.01272683587005
"66",1.88975185685497
"67",1.90065325524346
"68",1.97900049743297
"69",1.81386767489502
"70",1.8209462818844
"71",1.83944505442426
"72",1.98156811211248
"73",1.91919437524923
"74",1.89615600508532
"75",1.94091704534101
"76",2.11602604736639
"77",1.91673965091644
"78",1.84646119792447
"79",1.9977370708382
"80",1.82748162898234
"81",2.00706131592184
"82",1.98469325406495
"83",1.98966372085434
"84",1.92264749857488
"85",1.99319740968667
"86",1.98552882558222
"87",1.81047664487734
"88",1.97465007398983
"89",1.83948937620647
"90",1.93045155753455
"91",2.04002823068119
"92",1.94668189109401
"93",1.90992890657075
"94",1.89744495768572
"95",2.02848870015912
"96",1.90804834074271
"97",1.9637241328383
"98",1.90335174017364
"99",1.92931791939722
"100",1.98672115297518
"101",1.94525510940768
"102",1.91155118658417
"103",1.87509315009472
"104",1.91043044919557
"105",1.96104654715512
"106",1.96101154356311
"107",1.9028867936385
"108",2.04508098003837
"109",1.95318336219084
"110",1.81148422439795
"111",1.95745905793272
"112",1.86379643156296
"113",1.97341523175976
"114",1.82184758108387
"115",2.00832321836903
"116",1.7775137681046
"117",1.87933736039046
"118",1.90767566360986
"119",1.9814192147198
"120",1.91603392201869
"121",1.91502685647244
"122",1.89292237089292
"123",1.89726368283239
"124",1.83294272698666
"125",2.01155318940329
"126",1.81183494540946
"127",1.87006633543018
"128",1.98466581049018
"129",1.86763000589018
"130",1.96329485806624
"131",2.02052210511356
"132",2.06754672773454
"133",1.82477025432859
"134",1.89618469986626
"135",1.95713995026506
"136",1.81698238266166
"137",1.96826633951848
"138",1.85731413787146
"139",1.95052569516948
"140",1.87665218522286
"141",1.82810187067143
"142",1.89504225004679
"143",1.87120964293441
"144",1.98104689609953
"145",1.9073100168324
"146",1.87332019534721
"147",1.96459042089208
"148",1.8353585897882
"149",1.99122529964577
"150",1.78206549569944
"151",1.84495855005011
"152",1.9848017783528
"153",2.10058289244505
"154",2.03298221938682
"155",1.82765504911482
"156",1.93499118559774
"157",1.90706566125439
"158",1.81412725933573
"159",2.0343695795742
"160",1.91382298359027
"161",1.87640096095628
"162",1.93350493225783
"163",2.00386866049769
"164",1.85166173288127
"165",1.98474439675129
"166",2.06596272497938
"167",2.03132564931017
"168",1.82974229567168
"169",1.78139570677753
"170",1.94078467528063
"171",1.84680380069262
"172",1.92585912287425
"173",1.91028413233865
"174",1.80713324826218
"175",2.02424979736828
"176",1.84371851883415
"177",2.03973372525759
"178",1.93603179001168
"179",1.92211100537768
"180",2.02091316289542
"181",1.88232247593094
"182",1.87841292770519
"183",1.89966070928358
"184",1.93744825646519
"185",1.84095973468969
"186",1.81904132640048
"187",1.88977810730535
"188",1.93592109950659
"189",1.85346870297228
"190",1.93131070742772
"191",1.97190209885167
"192",1.88261669254321
"193",1.81167825251421
"194",1.96700894112153
"195",1.92626224205844
"196",2.04716492872644
"197",1.81416879292316
"198",1.95014869523194
"199",1.84214588951295
"200",1.87984311514156
"201",1.78780756834796
"202",1.9166927218721
"203",1.82774089158873
"204",1.89151129242996
"205",1.94863930008931
"206",1.97140037312899
"207",1.9685310138321
"208",1.98494351716767
"209",1.82914062776679
"210",1.89655659675846
"211",1.84315615571969
"212",1.8730682729106
"213",1.93891249665
"214",1.99867465188325
"215",1.82397474016618
"216",2.07007818437545
"217",2.00605788414956
"218",1.93584031830845
"219",1.94757395279258
"220",1.86795900127908
"221",1.94047583198341
"222",2.05479113838925
"223",1.85243775494625
"224",1.96459089781281
"225",1.87726811693065
"226",1.99010425713396
"227",1.88603566724353
"228",1.94105073080091
"229",1.91130611593399
"230",1.90865288363143
"231",2.01242937245209
"232",1.90392396410351
"233",1.81482556226495
"234",1.96176785560567
"235",1.87289165242024
"236",1.79443886911057
"237",1.97400366938822
"238",2.07127585063774
"239",1.86581634324817
"240",1.81536415175805
"241",1.91181055392209
"242",1.89676242195086
"243",1.9895609688016
"244",2.00632010261302
"245",1.95955481977177
"246",1.93389053158775
"247",2.02904846498968
"248",1.91451588924556
"249",1.85139658149336
"250",1.96736929166243
"251",1.90210850399059
"252",1.81823589155847
"253",1.82881131536236
"254",1.85329771236459
"255",1.90847713813023
"256",1.90811615641687
"257",1.83881634394777
"258",1.98922187290963
"259",1.80749497742284
"260",1.9052428182828
"261",1.88988212920227
"262",1.90211417047872
"263",1.8425911410325
"264",1.84959372414959
