"","V1"
"1",2.14860404298344
"2",2.0696859513367
"3",2.13340512148861
"4",2.21606393327594
"5",2.33344631152009
"6",1.93046856785226
"7",1.99655167310094
"8",2.20325872662919
"9",2.32643277482393
"10",1.97744909528293
"11",2.07876825731386
"12",2.20064905227515
"13",2.27979903068254
"14",2.09427459702127
"15",2.21233550609036
"16",2.06130142860389
"17",2.17915962169086
"18",2.22262026627868
"19",2.21236869362423
"20",2.27262963006215
"21",2.05790265040653
"22",2.11445497243126
"23",1.94331049927434
"24",2.02309065288054
"25",2.20100820395009
"26",2.03531329794954
"27",2.1891016120132
"28",2.13737653414854
"29",2.09531756944416
"30",2.23599200501595
"31",1.98248599550458
"32",2.05746275428384
"33",2.26697958769576
"34",2.02261589646766
"35",2.11001439318415
"36",1.96095133062114
"37",2.27389968143684
"38",2.10347124276964
"39",2.14702867407698
"40",1.96459941121061
"41",2.15876027468689
"42",2.06594006286949
"43",1.99927849585521
"44",2.04977589853464
"45",2.01039642431886
"46",2.01919510358104
"47",2.35121597281669
"48",2.12302868114664
"49",2.10095123806941
"50",2.02391665562666
"51",2.31137647341143
"52",2.14856031655851
"53",1.96233169695142
"54",2.02110365350295
"55",1.97461202737948
"56",1.94442538159544
"57",2.17917463300984
"58",2.32688748684197
"59",1.96019226869632
"60",1.87222336799122
"61",2.23204625764989
"62",2.07446093216266
"63",2.0316452707745
"64",2.14084766474171
"65",2.08613717261768
"66",1.91134840789656
"67",2.01880039875385
"68",2.09171272279507
"69",2.18354257136161
"70",2.12246836474078
"71",2.26411803477529
"72",2.2203806417295
"73",2.32732159532658
"74",1.98982864224089
"75",1.96468265315971
"76",2.08014809459926
"77",2.29917151015955
"78",1.97436805520173
"79",1.94705349763602
"80",2.26203270346626
"81",2.03127263814498
"82",2.31985185727575
"83",2.17117618136617
"84",1.90298448258476
"85",1.85922268962201
"86",2.22608446190989
"87",1.99100705759651
"88",2.43724826657305
"89",2.02447303959905
"90",2.21885304488577
"91",2.18759376868717
"92",1.86185423460289
"93",2.19776803478514
"94",2.59373094560103
"95",2.26475729386421
"96",2.07674210205366
"97",2.16146300834219
"98",2.04745285220249
"99",2.03930881815148
"100",2.0865444859421
"101",2.03684044138243
"102",2.15814725563956
"103",1.91158125712042
"104",1.84442765299364
"105",2.17393516541541
"106",2.02019990451645
"107",2.22164554730143
"108",2.13395595956346
"109",2.01053463890836
"110",1.85314441557386
"111",2.21623639250867
"112",2.0586983214131
"113",2.14411749666614
"114",1.94273536765076
"115",2.21834779468712
"116",1.93633624192698
"117",2.1007891386254
"118",2.20431675171305
"119",2.04319398248638
"120",2.14256730053811
"121",2.03715457253584
"122",2.14022285579034
"123",2.21865419508851
"124",2.16399546499949
"125",2.29571994846869
"126",2.05903221649691
"127",2.11252371286641
"128",2.40969856418847
"129",2.04505910319123
"130",2.01572491947402
"131",2.13528739502626
"132",2.1625120868331
"133",1.99126281388539
"134",2.18641462709059
"135",1.89933205480309
"136",1.98532290068186
"137",2.04262727469448
"138",2.0688718498781
"139",2.05365860381618
"140",2.02046373853575
"141",2.12492014774433
"142",2.0621954035577
"143",2.38344073478193
"144",2.19515147223942
"145",2.02415508946256
"146",2.29881312664102
"147",2.04995349112061
"148",1.96030051987443
"149",2.16888131757009
"150",2.1772855799031
"151",2.22367613176543
"152",1.99288228183476
"153",2.123383768436
"154",2.12604455759247
"155",2.12671103462922
"156",2.11180884456735
"157",2.10594415384659
"158",2.16688128625074
"159",2.11785944610887
"160",1.83917665208981
"161",2.24669108684386
"162",2.18273260411573
"163",2.11705293498091
"164",2.11311672986594
"165",2.12863074342939
"166",2.25664948107382
"167",2.13792896271504
"168",1.8602899376765
"169",1.94167401318087
"170",1.94097320024611
"171",2.23790957641649
"172",1.96007094358305
"173",2.12856225273979
"174",2.28785198405515
"175",2.27799678635019
"176",2.00051859957072
"177",2.12685865031826
"178",2.07828478647406
"179",2.12926479501539
"180",1.97820878390475
"181",2.08643104290505
"182",2.09245377790143
"183",2.05061788762162
"184",1.91093098968299
"185",2.14573236944389
"186",2.29072938876677
"187",2.17144897038595
"188",2.09802136412857
"189",1.87848480460007
"190",2.09647785294607
"191",2.06258469788466
"192",2.12098209839254
"193",2.03669221992973
"194",2.02843921469377
"195",2.350022358014
"196",2.12890129994194
"197",2.18442094545834
"198",1.99666212677937
"199",1.97738802861297
"200",2.08710930637272
"201",1.94654907541614
"202",2.1201353785697
"203",2.05754262923093
"204",2.2672824854521
"205",2.07586800020919
"206",2.27609840607547
"207",2.15996546370865
"208",2.20130264230536
"209",2.01419758274919
"210",1.91456149460647
"211",2.07462310452904
"212",2.09058530465054
"213",1.98812806361091
"214",1.86785716722342
"215",1.98914273169538
"216",2.1046468606391
"217",2.16038309923671
"218",2.02896641565122
"219",2.04687958512808
"220",2.36395334128306
"221",1.97793394855677
"222",2.24873505954556
"223",2.21970236732792
"224",2.01504982539015
"225",1.99356731758666
"226",2.17796335698649
"227",2.0729936689313
"228",2.01495391683612
"229",2.30924419695415
"230",1.96791256900243
"231",2.15445746579705
"232",2.05493908403045
"233",2.04087536210136
"234",2.02085332547424
"235",2.09488133286149
"236",2.17818693475008
"237",2.14066849930836
"238",2.02364857249763
"239",2.1851127910119
"240",1.92393362890351
"241",2.01279722339831
"242",2.02331058670561
"243",2.20223406743812
"244",2.1519702983504
"245",2.33543184529445
"246",2.14379986559029
"247",2.02760148014273
"248",1.95837465253207
"249",2.08512629048348
"250",1.92163310494129
"251",2.25618562884104
"252",2.10983012407752
"253",2.0684215896789
"254",2.40703628487855
"255",2.15300541912467
"256",2.54686075544282
"257",1.96167702330228
"258",2.16942067988666
"259",2.23910443412922
"260",2.13821946349441
"261",2.23218557849151
"262",2.12563599783061
"263",2.15312539238651
"264",2.07939184628114
"265",1.9619540773376
"266",2.06269558725553
"267",2.06313023639056
"268",2.08476504906215
"269",1.98127976379616
"270",1.95083187305656
"271",2.09726944203398
"272",2.20608972278825
"273",2.11977469419638
"274",1.90625569400414
"275",2.07132956330377
"276",2.10422925902235
"277",1.96289834763339
"278",2.16685840340628
"279",2.06134775371671
"280",2.18564596492533
"281",2.21402476514473
"282",2.04744590723768
"283",2.059731268991
"284",1.98321701563898
"285",2.58513052146782
"286",1.98219279449671
"287",2.08913841483042
"288",1.87546034110163
"289",2.00233527278015
"290",2.03074256703521
"291",2.07582995138295
"292",1.89779856988613
"293",2.08893314887396
"294",2.02813994653819
"295",2.10147048961052
"296",2.22149247503156
"297",1.88194772886062
"298",2.11166316441836
"299",1.9832892432615
"300",2.26916802266709
"301",2.34526862135972
"302",2.22383262279147
"303",1.99041671826792
"304",2.15372831426395
"305",2.21579528488276
"306",1.86060738606358
"307",2.06396357990651
"308",2.02912141502285
"309",2.31650261421721
"310",2.02506992463477
"311",1.97983371646899
"312",2.23929549756127
"313",2.03738651613693
"314",1.95144374787233
"315",2.06487675720857
"316",2.16148850229913
"317",1.98061378199761
"318",2.38895993620541
"319",2.11462577175308
"320",2.00379184411967
"321",2.03187940549644
"322",1.945007676717
"323",2.3372033836499
"324",1.95911483494499
"325",2.00845319727788
"326",1.97625366276601
"327",2.23856441917604
"328",2.09961043259393
"329",1.95597300670642
"330",2.13304175379563
"331",2.16634929464301
"332",2.188868853269
"333",1.87685757678835
"334",2.02435914235502
"335",1.91082035540804
"336",2.13376456818075
"337",1.89190973842708
"338",2.16206826714549
"339",1.93680019585646
"340",1.98445881734851
"341",1.99568134670243
"342",2.00682441656467
"343",1.92918531493652
"344",1.8634869534542
"345",2.01855112141703
"346",2.14458716892659
"347",2.18642347901175
"348",2.32414435794739
"349",2.08290769921182
"350",2.24593014381123
"351",2.31378049267828
"352",2.08933296207995
"353",1.85047635000092
"354",2.18480633500335
"355",2.07191099103972
"356",1.87658656233208
"357",2.21244705417808
"358",2.06090000223829
"359",2.28291415539103
"360",2.07867010282364
"361",2.06385273464453
"362",2.04449411812185
