"","x"
"1",4.78894192467036
"2",4.68195085008329
"3",5.29408922180531
"4",5.72105918912862
"5",5.94219483851091
"6",6.09018135274933
"7",6.18458723517353
"8",6.4342600809546
"9",6.658360310299
"10",6.92489214106892
"11",7.17943048456044
"12",7.41409479991415
"13",7.47534407324327
"14",7.5520876367918
"15",7.74287383215399
"16",7.92648078328593
"17",14.7019642609032
"18",14.7113164901022
"19",14.0138849778544
"20",13.4124189173558
"21",12.8725788695623
"22",12.5272606124557
"23",11.5188904813039
"24",10.4777291310435
"25",9.94375510403009
"26",9.48219467448437
"27",9.02402741207244
"28",8.72094607056374
"29",8.7093990103995
"30",8.8018877633565
"31",8.98043411841716
"32",9.13882908949653
"33",5.89546203128003
"34",6.03687736281449
"35",6.35920132686887
"36",6.67292274312757
"37",6.77581312460184
"38",6.81101455786824
"39",6.81788814848891
"40",6.8082549997212
"41",6.80339987218987
"42",6.78999439622835
"43",6.77509739752711
"44",6.89322006318437
"45",6.83094400723655
"46",6.77314081560486
"47",6.68477070315249
"48",6.53042099395526
"49",11.7254281322434
"50",12.7084905121168
"51",11.4365441854352
"52",10.3069144006467
"53",10.5514791462576
"54",10.3574911927507
"55",9.83903521449549
"56",9.76527524229798
"57",10.1568247900439
"58",10.5272835501083
"59",9.97492484052899
"60",9.70637455135818
"61",9.47000887557332
"62",9.40812000380849
"63",9.14319434167482
"64",8.85459477790574
"65",7.41820421908705
"66",7.45454036125302
"67",7.25479507578192
"68",7.12077097032473
"69",7.28401372103512
"70",7.4518930042923
"71",7.47793542119353
"72",7.50754540495125
"73",7.51761727487125
"74",7.55119602386781
"75",7.55658641080943
"76",7.57612647859128
"77",7.73531874504266
"78",7.70008919213913
"79",7.70093572927262
"80",7.67714209220412
"81",8.92660622710033
"82",10.2151852651773
"83",11.3685705226545
"84",10.6264413229769
"85",9.20007269910578
"86",9.46125085124774
"87",9.5576834025826
"88",9.45204465971823
"89",9.12906728284119
"90",8.96643678116805
"91",8.93780059579406
"92",9.04662645135609
"93",9.13617978910951
"94",9.38124560088161
"95",9.10262642239093
"96",9.06326389938313
"97",5.98391785669464
"98",6.46825686652896
"99",6.53523137043712
"100",6.49049098958565
"101",6.53596849922381
"102",6.88500185104629
"103",7.08284331560532
"104",7.11369665379506
"105",7.17933718749837
"106",7.25783259623707
