"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7"
"(Intercept)",2.18373029097665,0.0224581998506277,97.23532186466,2.18052941330255e-34,2.10789655260459,0.0181468424027389,116.157759340349,1.50993732130914e-33,1.95321648809872,0.0259584061853101,75.2440837143556,2.50724520214872e-28,2.26217344719442,0.0420305063846455,53.8221792164947,2.4948782649796e-27,2.0290783445882,0.0146503499364147,138.500332988275,1.36495052968929e-37,2.05133853660399,0.0194743629323392,105.335334651566,1.56133695325688e-35,2.17242716204804,0.0171346950670987,126.785282932723,4.13772928458788e-35,2.02125041143642,0.0192051502074031,105.245227952306,4.80376298096827e-35
"te(std_L,temp)",5.42071622698259,24,1.07250912257528,0.00108225150961143,7.8359175141312,24,5.81214129212709,7.28598274409769e-14,8.70628567140218,24,3.02525622846388,9.14551978821147e-07,6.05213121040481,23,2.08732253920941,7.43391767124083e-06,6.00430778209362,24,6.47274804981713,1.29863134394053e-17,5.18794613487721,24,4.334901511408,9.95336340273713e-12,7.27187675114295,24,4.87831285819969,7.41858141063703e-12,5.61893505254482,23,1.49928994383969,0.000156466221066664
