"","x"
"1",14.9466816265712
"2",14.9466816265712
"3",14.9466816265712
"4",14.9466816265712
"5",14.9466816265712
"6",14.9466816265712
"7",14.9466816265712
"8",14.9466816265712
"9",14.9466816265712
"10",14.9466816265712
"11",14.9466816265712
"12",14.9466816265712
"13",14.9466816265712
"14",14.9466816265712
"15",14.9466816265712
"16",14.9466816265712
"17",11.6796916826244
"18",11.6796916826244
"19",11.6796916826244
"20",11.6796916826244
"21",11.6796916826244
"22",11.6796916826244
"23",11.6796916826244
"24",11.6796916826244
"25",11.6796916826244
"26",11.6796916826244
"27",11.6796916826244
"28",11.6796916826244
"29",11.6796916826244
"30",11.6796916826244
"31",11.6796916826244
"32",11.6796916826244
"33",14.9466816265712
"34",14.9466816265712
"35",14.9466816265712
"36",14.9466816265712
"37",14.9466816265712
"38",14.9466816265712
"39",14.9466816265712
"40",14.9466816265712
"41",14.9466816265712
"42",14.9466816265712
"43",14.9466816265712
"44",14.9466816265712
"45",14.9466816265712
"46",14.9466816265712
"47",14.9466816265712
"48",14.9466816265712
"49",11.6796916826244
"50",11.6796916826244
"51",11.6796916826244
"52",11.6796916826244
"53",11.6796916826244
"54",11.6796916826244
"55",11.6796916826244
"56",11.6796916826244
"57",11.6796916826244
"58",11.6796916826244
"59",11.6796916826244
"60",11.6796916826244
"61",11.6796916826244
"62",11.6796916826244
"63",11.6796916826244
"64",11.6796916826244
"65",14.9466816265712
"66",14.9466816265712
"67",14.9466816265712
"68",14.9466816265712
"69",14.9466816265712
"70",14.9466816265712
"71",14.9466816265712
"72",14.9466816265712
"73",14.9466816265712
"74",14.9466816265712
"75",14.9466816265712
"76",14.9466816265712
"77",14.9466816265712
"78",14.9466816265712
"79",14.9466816265712
"80",14.9466816265712
"81",11.6796916826244
"82",11.6796916826244
"83",11.6796916826244
"84",11.6796916826244
"85",11.6796916826244
"86",11.6796916826244
"87",11.6796916826244
"88",11.6796916826244
"89",11.6796916826244
"90",11.6796916826244
"91",11.6796916826244
"92",11.6796916826244
"93",11.6796916826244
"94",11.6796916826244
"95",11.6796916826244
"96",11.6796916826244
"97",14.9466816265712
"98",14.9466816265712
"99",14.9466816265712
"100",14.9466816265712
"101",14.9466816265712
"102",14.9466816265712
"103",14.9466816265712
"104",14.9466816265712
"105",14.9466816265712
"106",14.9466816265712
"107",14.9466816265712
"108",14.9466816265712
"109",14.9466816265712
"110",14.9466816265712
"111",14.9466816265712
"112",14.9466816265712
"113",11.6796916826244
"114",11.6796916826244
"115",11.6796916826244
"116",11.6796916826244
"117",11.6796916826244
"118",11.6796916826244
"119",11.6796916826244
"120",11.6796916826244
"121",11.6796916826244
"122",11.6796916826244
"123",11.6796916826244
"124",11.6796916826244
"125",11.6796916826244
"126",11.6796916826244
"127",11.6796916826244
"128",11.6796916826244
"129",14.9466816265712
"130",14.9466816265712
"131",14.9466816265712
"132",14.9466816265712
"133",14.9466816265712
"134",14.9466816265712
"135",14.9466816265712
"136",14.9466816265712
"137",14.9466816265712
"138",14.9466816265712
"139",14.9466816265712
"140",14.9466816265712
"141",14.9466816265712
"142",14.9466816265712
"143",14.9466816265712
"144",14.9466816265712
"145",11.6796916826244
"146",11.6796916826244
"147",11.6796916826244
"148",11.6796916826244
"149",11.6796916826244
"150",11.6796916826244
"151",11.6796916826244
"152",11.6796916826244
"153",11.6796916826244
"154",11.6796916826244
"155",11.6796916826244
"156",11.6796916826244
"157",11.6796916826244
"158",11.6796916826244
"159",11.6796916826244
"160",11.6796916826244
"161",14.9466816265712
"162",14.9466816265712
"163",14.9466816265712
"164",14.9466816265712
"165",14.9466816265712
"166",14.9466816265712
"167",14.9466816265712
"168",14.9466816265712
"169",14.9466816265712
"170",14.9466816265712
"171",14.9466816265712
"172",14.9466816265712
"173",14.9466816265712
"174",14.9466816265712
"175",14.9466816265712
"176",14.9466816265712
"177",11.6796916826244
"178",11.6796916826244
"179",11.6796916826244
"180",11.6796916826244
"181",11.6796916826244
"182",11.6796916826244
"183",11.6796916826244
"184",11.6796916826244
"185",11.6796916826244
"186",11.6796916826244
"187",11.6796916826244
"188",11.6796916826244
"189",11.6796916826244
"190",11.6796916826244
"191",11.6796916826244
"192",11.6796916826244
"193",14.9466816265712
"194",14.9466816265712
"195",14.9466816265712
"196",14.9466816265712
"197",14.9466816265712
"198",14.9466816265712
"199",14.9466816265712
"200",14.9466816265712
"201",14.9466816265712
"202",14.9466816265712
"203",14.9466816265712
"204",14.9466816265712
"205",14.9466816265712
"206",14.9466816265712
"207",14.9466816265712
"208",14.9466816265712
"209",11.6796916826244
"210",11.6796916826244
"211",11.6796916826244
"212",11.6796916826244
"213",11.6796916826244
"214",11.6796916826244
"215",11.6796916826244
"216",11.6796916826244
"217",11.6796916826244
"218",11.6796916826244
"219",11.6796916826244
"220",11.6796916826244
"221",11.6796916826244
"222",11.6796916826244
"223",11.6796916826244
"224",11.6796916826244
"225",14.9466816265712
"226",14.9466816265712
"227",14.9466816265712
"228",14.9466816265712
"229",14.9466816265712
"230",14.9466816265712
"231",14.9466816265712
"232",14.9466816265712
"233",14.9466816265712
"234",14.9466816265712
"235",14.9466816265712
"236",14.9466816265712
"237",14.9466816265712
"238",14.9466816265712
"239",14.9466816265712
"240",14.9466816265712
"241",11.6796916826244
"242",11.6796916826244
"243",11.6796916826244
"244",11.6796916826244
"245",11.6796916826244
"246",11.6796916826244
"247",11.6796916826244
"248",11.6796916826244
"249",11.6796916826244
"250",11.6796916826244
"251",11.6796916826244
"252",11.6796916826244
"253",11.6796916826244
"254",11.6796916826244
"255",11.6796916826244
"256",11.6796916826244
