"","x"
"1",0.984687425887686
"2",0.315681486123107
"3",0.425964269508583
"4",0.937828075395241
"5",0.474635840545568
"6",0.851885177117568
"7",0.50291057383515
"8",0.342720561203909
"9",0.761590413769643
"10",0.632163589466065
"11",0.24562036655183
"12",0.696043424182781
"13",0.6434971642201
"14",0.823117633946529
"15",0.125581549124891
"16",0.951576767123174
"17",0.320752899181364
"18",0.910050757295191
"19",0.125581549124891
"20",0.727199950730194
"21",0.931384664651994
"22",0.798547972657271
"23",0.881124161292948
"24",0.855685806720108
"25",0.931384664651994
"26",0.306592252595411
"27",0.704096062278816
"28",0.937828075395241
"29",0.745128218818138
"30",0.927787214598858
"31",0.510425561137701
"32",0.937828075395241
"33",0.405862768047939
"34",0.833445401317376
"35",0.304861647243456
"36",0.937828075395241
