"","x"
"233",-0.115376884422111
"234",-0.197788944723618
"235",-0.255477386934673
"236",-0.148341708542714
"237",-0.098894472361809
"238",-0.123618090452261
"239",-0.131859296482412
"240",-0.10713567839196
"241",-0.230753768844221
"242",-0.140100502512563
"243",-0.148341708542714
"244",-0.10713567839196
"245",-0.0906532663316583
"246",-0.164824120603015
"247",-0.0741708542713567
"248",-0.189547738693467
"249",-0.123618090452261
"250",-0.115376884422111
"251",-0.131859296482412
"252",-0.0906532663316583
"253",-0.0741708542713567
"254",-0.0906532663316583
"255",-0.156582914572864
"256",-0.197788944723618
"257",-0.0906532663316583
"258",-0.140100502512563
"259",-0.123618090452261
"260",-0.0576884422110553
"261",-0.10713567839196
"262",-0.032964824120603
"263",-0.10713567839196
"264",-0.115376884422111
"265",-0.140100502512563
"266",-0.148341708542713
"267",-0.148341708542714
"268",-0.11537688442211
"269",-0.115376884422111
"270",-0.065929648241206
"271",-0.148341708542714
"272",-0.10713567839196
"273",-0.0741708542713568
"274",-0.148341708542714
"275",-0.0824120603015075
"276",-0.173065326633166
"277",-0.10713567839196
"278",-0.148341708542714
"279",-0.148341708542713
"280",-0.140100502512563
"281",-0.206030150753769
"282",-0.0164824120603014
"283",-0.304924623115578
"284",-0.156582914572864
"285",-0.140100502512563
"286",-0.123618090452261
"287",-0.123618090452261
"288",-0.0906532663316584
"289",-0.0247236180904522
"290",-0.197788944723618
"291",-0.0576884422110553
"292",-0.156582914572864
"293",-0.173065326633166
"294",-0.0659296482412061
"295",-0.0906532663316584
"296",-0.115376884422111
"297",-0.115376884422111
"298",-0.098894472361809
"299",-0.131859296482412
"300",-0.0659296482412061
"301",-0.164824120603015
"302",-0.140100502512563
"303",-0.247236180904523
"304",-0.189547738693467
"305",-0.098894472361809
"306",-0.206030150753769
"307",-0.164824120603015
"308",-0.10713567839196
"309",-0.123618090452261
"310",-0.173065326633166
"311",-0.255477386934673
"312",-0.123618090452261
"313",-0.189547738693467
"314",-0.123618090452261
"315",-0.0741708542713567
"316",-0.10713567839196
"317",-0.148341708542713
"318",-0.10713567839196
"319",-0.21427135678392
"320",-0.197788944723618
"321",-0.164824120603015
"322",-0.164824120603015
"323",-0.148341708542714
"324",-0.148341708542714
"325",-0.131859296482412
"326",-0.098894472361809
"327",-0.115376884422111
"328",-0.123618090452261
"329",-0.0247236180904522
"330",-0.140100502512563
"331",-0.140100502512563
"332",-0.131859296482412
"333",-0.0988944723618091
"334",-0.148341708542714
"335",-0.181306532663317
"336",-0.131859296482412
"337",-0.115376884422111
"338",-0.0741708542713568
"339",-0.0412060301507536
"340",-0.131859296482412
"341",-0.156582914572864
"342",-0.098894472361809
"343",-0.10713567839196
"344",-0.065929648241206
"345",-0.123618090452261
"346",-0.123618090452261
"347",-0.181306532663317
"348",-0.156582914572864
"349",-0.0906532663316584
"350",-0.098894472361809
"351",-0.10713567839196
"352",-0.0659296482412061
"353",-0.164824120603015
"354",-0.164824120603015
"355",-0.140100502512563
"356",-0.0164824120603015
"357",-0.0741708542713568
"358",-0.140100502512563
"359",-0.140100502512563
"360",-0.148341708542714
"361",-0.131859296482412
"362",-0.164824120603015
"363",-0.189547738693467
"364",-0.173065326633166
"365",-0.0906532663316583
"366",-0.156582914572864
"367",-0.0741708542713567
"368",-0.0741708542713567
"369",-0.181306532663317
"370",-0.123618090452261
"371",-0.0824120603015075
"372",-0.164824120603015
"373",-0.131859296482412
"374",-0.0824120603015075
"375",-0.164824120603015
"376",-0.189547738693467
"377",-0.10713567839196
"378",-0.10713567839196
"379",-0.140100502512563
"380",-0.0164824120603015
"381",-0.0906532663316584
"382",-0.0494472361809045
"383",-0.0906532663316584
"384",-0.098894472361809
"385",-0.22251256281407
"386",-0.115376884422111
"387",-0.115376884422111
"388",-0.131859296482412
"389",-0.0824120603015076
"390",-0.131859296482412
"391",-0.0659296482412061
"392",-0.0741708542713567
"393",-0.197788944723618
"394",-0.131859296482412
"395",-0.098894472361809
"396",-0.0824120603015075
"397",-0.131859296482412
"398",-0.10713567839196
"399",-0.140100502512563
"400",-0.21427135678392
"401",-0.164824120603015
"402",-0.10713567839196
"403",-0.115376884422111
"404",-0.0988944723618091
"405",-0.098894472361809
"406",-0.123618090452261
"407",-0.156582914572864
"408",-0.181306532663317
"409",-0.173065326633166
"410",-0.131859296482412
"411",-0.181306532663317
"412",-0.0659296482412061
"413",-0.123618090452261
"414",-0.173065326633166
"415",-0.131859296482412
