"","x"
"1",5.95177579824721
"2",5.96815792045812
"3",6.04023287995296
"4",6.06124148255467
"5",6.17274169263429
"6",6.16374760782987
"7",6.14976149480827
"8",6.18546485402718
"9",6.22679250309576
"10",6.32389719854062
"11",6.32619265680944
"12",6.32619265680944
"13",6.32677350509511
"14",6.33909802665698
"15",6.43258245619124
"16",7.59896539047855
"17",12.2641284703593
"18",11.9518680952886
"19",12.1134633681019
"20",12.1895906662942
"21",12.1090213408982
"22",11.9199542167484
"23",11.7212460913596
"24",11.7209845477572
"25",11.6769659813289
"26",11.5349501815017
"27",11.5269939853807
"28",11.4363863817723
"29",11.4337841775428
"30",10.3271362147142
"31",9.69182669092461
"32",8.70708779757059
"33",6.10821187180497
"34",6.26344406054702
"35",6.27125340212118
"36",6.32285013158357
"37",6.32462696866068
"38",6.32389719854062
"39",6.32389719854062
"40",6.32389719854062
"41",6.32159084100391
"42",6.31927033052579
"43",6.34102080222035
"44",6.34108156672654
"45",6.31609969887965
"46",6.25022625804378
"47",6.16430585373811
"48",5.9841193975941
"49",11.0724220500474
"50",11.6789862531483
"51",11.5122740042375
"52",11.4844433468696
"53",11.5354936137999
"54",11.508040795549
"55",11.5151205821554
"56",11.2601380305007
"57",11.3126243263743
"58",11.2763885738277
"59",11.2612493047588
"60",11.2569017060068
"61",10.8575032738749
"62",10.495541023769
"63",8.80738454220815
"64",8.66277344140837
"65",6.6920300323658
"66",6.69320625532989
"67",6.59717040233435
"68",6.58425225923033
"69",6.52724596354087
"70",6.45464317599138
"71",6.67797952533653
"72",6.61790306841525
"73",6.62117156852242
"74",6.69825492252751
"75",6.62949508934938
"76",6.72333147669057
"77",6.85318697365491
"78",6.96704642090774
"79",7.27215834016535
"80",7.5665784831746
"81",9.98514900789186
"82",10.1392888320401
"83",10.1368831717009
"84",9.91416320337296
"85",9.90322218478423
"86",10.6095148188833
"87",11.1414879439224
"88",9.97351877313727
"89",9.98338176460398
"90",9.98368627280636
"91",9.70474291705256
"92",9.45868733667999
"93",9.43966649967007
"94",8.62317471144636
"95",8.81440936094528
"96",8.47766836365556
"97",5.91849365882826
"98",6.14104648395062
"99",6.25436228838157
"100",6.28545867528018
"101",6.32462696866068
"102",6.32462696866068
"103",6.32462696866068
"104",6.33195754698797
"105",6.33195754698797
"106",6.33126936486797
"107",6.32953044510418
"108",6.32784793865722
"109",6.48906961583331
"110",6.46571257909572
"111",6.95601642023796
"112",7.38569328409321
"113",11.5889847960408
"114",11.5134484260354
"115",11.5134484260354
"116",11.5684989459346
"117",11.6397850706688
"118",11.6356880050159
"119",11.5361705852584
"120",11.5135064733579
"121",11.5371243115928
"122",11.5504100062943
"123",11.3687526363675
"124",11.459151696386
"125",11.2517172336792
"126",8.56338475119067
"127",8.67653114755633
"128",8.8015668324676
"129",6.04584855265445
"130",6.06195885057959
"131",6.15697420077992
"132",6.22058636328127
"133",6.22058636328127
"134",6.22058636328127
"135",6.22058636328127
"136",6.27618949385542
"137",6.2751765274789
"138",6.23676324502976
"139",6.2410796357958
"140",6.21916691807536
"141",6.33995409727028
"142",6.36036257118069
"143",6.62441243481576
"144",6.6106238631746
"145",11.9321619931872
"146",11.7401030740171
"147",11.7183537941507
"148",11.7131556298065
"149",11.6353469777173
"150",11.6353469777173
"151",11.6766375766888
"152",11.6766375766888
"153",11.6342512841242
"154",11.4069347313178
"155",11.4058052166943
"156",10.7873066521802
"157",10.6187452278487
"158",10.1760761471742
"159",10.5356775054643
"160",11.6916893336951
"161",5.90214905254419
"162",6.83457408452457
"163",7.34080428462336
"164",6.9196010155854
"165",7.07428793631332
"166",7.14452511732196
"167",7.39232828268694
"168",7.44248612656468
"169",7.54924433070882
"170",7.53874698544841
"171",7.57083417617308
"172",7.53899515028511
"173",7.68487878363341
"174",7.49670516824735
"175",7.66091987253802
"176",7.83651453543278
"177",8.82369991958164
"178",9.34706271661461
"179",9.34800827961412
"180",9.09574084960856
"181",9.16781537833736
"182",9.0513731598385
"183",8.89571748486006
"184",8.77617574874522
"185",8.78167370744546
"186",8.70216781384792
"187",8.80003387486573
"188",8.67622140290538
"189",8.81315003939465
"190",8.71580630587879
"191",8.4279573786273
"192",8.73349509949154
"193",7.49002062099306
"194",7.12677794928236
"195",7.07531753101759
"196",6.4013989142872
"197",6.56397243076579
"198",6.49889878167858
"199",7.60373215593013
"200",7.15440950399943
"201",7.60826936859193
"202",7.5172630466389
"203",7.58973696832703
"204",7.11929489442305
"205",6.3320243128663
"206",7.61068546485261
"207",8.28693958013313
