"","Estimate","Std. Error","t value","Pr(>|t|)",""
"1",1.2941413114698,0.0931742658165563,13.8894715201484,0.000807919527138385,5
"2",-0.519847981842078,0.25512892330376,-2.03758936897617,0.072045330146819,11
"3",0.434393106791376,0.113022183420343,3.8434322682992,0.00273029044043943,13
"4",-0.649342643774325,0.696233617332568,-0.932650517885227,0.522176108922893,3
"5",0.69091944621675,0.513999118957565,1.34420356131737,0.31106180208558,4
"6",-1.20757878550104,0.15922974728575,-7.5838767949179,1.87408762620255e-05,12
"7",0.666738908653791,0.234359566210432,2.84494001859999,0.0216468480559826,10
"8",-0.29095273964407,0.201463974954471,-1.44419239077271,0.222183213628105,6
"9",1.30574419807571,0.276127847414479,4.72876680241432,0.00213561699829796,9
"10",-1.64276643100242,0.560406851592179,-2.93138177439327,0.0325804933282401,7
"11",0.351764283446494,0.205491222682176,1.71182145327225,0.121087156753503,11
"12",-2.77014046261919,1.05688751554166,-2.62103622370775,0.0789310261046613,5
"13",1.81134730770123,0.476666808654682,3.80002818491489,0.00523645223303853,10
"14",-3.282759419383,0.760887373042632,-4.31438283205557,0.0125026960222251,6
"15",0.476492469545878,0.444536869123711,1.0718851520351,0.315039256019065,10
"16",-3.10577454638694,0.350303846443724,-8.86594474458869,0.000893895987811052,6
"17",0.809779357558078,0.0987864776453036,8.19726927065483,7.79939422219361e-05,9
"18",-1.49213000252655,0.270412343350736,-5.51798037041229,0.00267645282387005,7
"19",1.12144132304605,0.184212796169196,6.08774931148664,0.0017298320917201,7
"20",-1.34178954273083,0.208272889187807,-6.44245896795955,0.000352776270329349,9
"21",1.44115325073749,0.353118572538372,4.0812162339065,0.00468249953723768,9
"22",-2.24257534496813,0.258224581292349,-8.6845928212744,0.000334780000799149,7
"23",0.883778298603802,0.182744245932651,4.83614843298273,0.00129445840169593,10
"24",-1.8447451234869,0.257329296137753,-7.16881113489455,0.00200458745472361,6
"25",0.430880743118701,0.100803692069993,4.27445398348622,0.00162554083284426,12
"26",-1.09065960270572,0.580996492050502,-1.87722235440092,0.201287821283258,4
"27",0.486404156211215,0.157473551115029,3.08879905715669,0.0114674099709011,12
"28",-2.04008563602084,0.194368701644213,-10.4959575217782,0.00895552793974744,4
