"","x"
"1",5.6771434015614
"2",5.58333218155001
"3",5.66359709663129
"4",5.69981261596558
"5",5.81999439960694
"6",5.81860494546896
"7",5.79595290621229
"8",5.84313168511441
"9",5.89470683608474
"10",6.02377694002586
"11",6.03506472439423
"12",6.03506472439423
"13",6.04203243749012
"14",6.05621410030357
"15",6.19268021055847
"16",7.12442878418002
"17",16.4382405962039
"18",16.269301764854
"19",16.374161059778
"20",16.396350951967
"21",16.3016458732169
"22",16.1990887168766
"23",15.99646574806
"24",15.9774141254311
"25",15.9217640471059
"26",15.7256936157402
"27",15.6529839216028
"28",15.6066209350482
"29",15.5915214863465
"30",15.328627130353
"31",15.0449234971357
"32",13.9032542865376
"33",7.21825523934923
"34",6.89896691767466
"35",6.91085868676792
"36",6.2112997075203
"37",6.35492796178819
"38",6.29637677920652
"39",7.32788871488968
"40",6.99526871909224
"41",7.33023017778414
"42",7.25703951241644
"43",7.30099911860067
"44",6.94596667511083
"45",6.12389127644906
"46",7.30851685223426
"47",7.86158893619865
"48",7.77492409227872
"49",15.3207765902561
"50",15.7687992324132
"51",15.712482890471
"52",15.6633439089595
"53",15.6848563716935
"54",15.6339939671028
"55",15.6405350439068
"56",15.6536699513369
"57",15.5941790433239
"58",15.626552047779
"59",15.6573538192182
"60",15.6602439538856
"61",15.6372906857066
"62",16.1124040109114
"63",16.0955021436204
"64",15.7324087194241
"65",5.07085149671134
"66",5.44893875486056
"67",5.5318069400082
"68",5.59469032899269
"69",5.61641108999041
"70",5.68707572698968
"71",5.67497218564468
"72",5.70907995445889
"73",5.71961120674993
"74",5.81860494546896
"75",5.72996488494984
"76",5.87598763944514
"77",5.73087746640724
"78",5.81747048641395
"79",5.64706987954151
"80",4.49993884509313
"81",17.1794558116313
"82",17.1537545606141
"83",16.6132738391041
"84",17.4658786991727
"85",16.4109276087869
"86",16.3808560071789
"87",16.2966184822421
"88",16.2453273527127
"89",16.2285065839918
"90",16.1514618690679
"91",16.1683024991267
"92",16.1514618690679
"93",16.2466663880897
"94",16.0568741285472
"95",16.7731508434631
"96",15.7324087194241
