"","Estimate","Std..Error","t.value","Pr...t..","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Estimate.4","Std..Error.4","t.value.4","Pr...t...4","Estimate.5","Std..Error.5","t.value.5","Pr...t...5","Estimate.6","Std..Error.6","t.value.6","Pr...t...6","Estimate.7","Std..Error.7","t.value.7","Pr...t...7","Estimate.8","Std..Error.8","t.value.8","Pr...t...8"
"(Intercept)",2.24660042322238,0.026532164562542,84.6746000661447,2.56833122671727e-31,2.06975123166077,0.0283305385225415,73.0572498653333,6.77941610096592e-31,2.05432478143975,0.0310480910960649,66.165896482445,2.11639789576846e-25,2.30910910986293,0.0408180633114992,56.5707660415239,1.13919870910672e-22,2.0530494576278,0.0283507654454791,72.416015065836,4.62144726685529e-30,2.04028879604618,0.0134808369930036,151.347338233157,3.07168363781045e-29,1.99018180125441,0.0200001285406951,99.5084505184509,3.84329415792325e-32,2.28803286163409,0.02716257631494,84.2347513396814,6.82974990235552e-33,2.06452744252144,0.0309717901257591,66.6583182353539,1.4642962457935e-31
"quarterQ3",-0.131149896034635,0.0374935103103835,-3.49793590807939,0.00184571192008731,0.108913761940271,0.0399545663793371,2.72594028192473,0.0114888766964635,-0.215474114161384,0.0438553899528738,-4.91328692762574,7.83057082234169e-05,-0.104650513896551,0.0576993275329698,-1.81372155224432,0.0855235510385906,-0.28037415899361,0.0396318574981002,-7.07446424904636,2.319161370229e-07,-0.0180154337437486,0.0190721060167667,-0.944595931246966,0.357457045771167,0.119856354916791,0.0336262014190665,3.56437390661769,0.00162384143085383,-0.236691699895398,0.0382842434382066,-6.1824834093283,1.62706626344051e-06,-0.0864505299877042,0.0437824115320777,-1.97454929873758,0.0586021130025863
"s(std_L):quarterQ1",4.99541204250353,9,3.43234672682167,0.000341302283628654,2.8138014637402,9,10.4113161917711,1.7560257859113e-12,5.2516055321563,9,7.10683538591337,4.97353876665869e-07,6.20331792577023,9,10.3858737325274,6.22406090534708e-09,3.28971572004612,9,9.43223989179166,5.23233185821879e-11,5.92349360168421,9,18.6243846954408,2.19803444487176e-15,0.683385288458962,9,0.23182114478181,0.0924515188499176,3.4153645584138,9,5.12509601304915,9.61361017779556e-07,2.07061557164767,9,1.21829101622252,0.00689191754972949
"s(std_L):quarterQ3",0.929498928039186,9,0.895517232332195,0.00616932867793457,1.95038308299743,9,1.0941380742966,0.00994137366847323,4.22987462027051,9,3.38842843566493,0.000301664632653508,4.76820333553182,9,4.6528974436402,5.19296979889277e-05,2.24613331931028,9,6.52228850593523,8.21957418442107e-09,6.1982487798278,9,27.7084882337793,1.39836589415065e-22,6.01929008360832,9,24.2375044540328,1.10971749557357e-22,0.912848650281468,9,0.829774014287263,0.00742799873996302,0.860967922703419,9,0.544181016410472,0.0229197892752911
